borough_name,region_name,population_2020,area_sq_miles
Manhattan,NYC District,1694251,22.8
Brooklyn,NYC District,2736074,69.4
Queens,NYC District,2405464,108.7
Bronx,NYC District,1472654,42.0
Staten Island,NYC District,495747,57.5
Jersey City,NYC District,292449,14.8
Hoboken,NYC District,60000,1.3
